id_venta,fecha,id_cliente,id_producto,cantidad,total_venta
1,2026-04-05,11,20,2,220000
2,2026-02-17,26,7,2,1400000
3,2026-01-15,23,20,3,330000
4,2026-03-13,28,9,2,360000
5,2026-03-19,25,1,2,5000000
6,2026-03-28,7,8,2,440000
7,2026-03-03,30,7,1,700000
8,2026-02-09,1,18,1,35000
9,2026-03-26,1,8,1,220000
10,2026-03-21,25,1,3,7500000
11,2026-03-23,27,11,5,1750000
12,2026-02-22,30,18,2,70000
13,2026-01-24,25,10,2,90000
14,2026-01-26,20,3,3,360000
15,2026-03-30,13,7,2,1400000
16,2026-03-01,9,16,1,90000
17,2026-02-10,3,16,5,450000
18,2026-01-29,7,20,4,440000
19,2026-01-15,6,17,2,120000
20,2026-02-14,8,2,1,850000
21,2026-03-06,27,1,4,10000000
22,2026-03-30,9,16,5,450000
23,2026-03-12,30,12,4,4800000
24,2026-01-09,5,5,1,650000
25,2026-03-29,1,5,4,2600000
26,2026-01-01,19,9,3,540000
27,2026-01-08,10,9,4,720000
28,2026-03-29,12,3,2,240000
29,2026-03-04,24,19,2,360000
30,2026-01-11,15,16,3,270000
31,2026-03-22,27,16,1,90000
32,2026-01-08,22,3,2,240000
33,2026-02-04,24,20,5,550000
34,2026-02-04,9,1,2,5000000
35,2026-02-02,20,20,2,220000
36,2026-01-05,17,11,1,350000
37,2026-02-10,30,17,4,240000
38,2026-01-28,17,8,2,440000
39,2026-01-07,26,4,3,240000
40,2026-03-14,20,6,4,3600000
41,2026-03-13,12,8,5,1100000
42,2026-01-12,30,20,1,110000
43,2026-02-03,7,3,5,600000
44,2026-02-02,2,16,4,360000
45,2026-02-17,3,3,4,480000
46,2026-01-23,17,18,4,140000
47,2026-03-03,5,14,5,1250000
48,2026-03-29,17,18,4,140000
49,2026-02-06,24,2,5,4250000
50,2026-04-09,17,3,4,480000
51,2026-02-13,27,16,3,270000
52,2026-03-27,17,9,4,720000
53,2026-04-01,2,4,5,400000
54,2026-02-04,2,1,2,5000000
55,2026-03-06,28,4,4,320000
56,2026-04-09,22,1,2,5000000
57,2026-02-16,23,14,3,750000
58,2026-03-19,5,16,1,90000
59,2026-01-03,1,20,3,330000
60,2026-01-01,1,8,4,880000
61,2026-01-05,19,7,2,1400000
62,2026-03-31,30,3,2,240000
63,2026-01-14,2,17,5,300000
64,2026-01-27,21,1,2,5000000
65,2026-01-09,12,16,5,450000
66,2026-03-20,26,12,1,1200000
67,2026-01-15,6,19,4,720000
68,2026-03-31,23,14,5,1250000
69,2026-02-11,4,6,1,900000
70,2026-03-18,23,6,2,1800000
71,2026-02-20,11,13,2,3600000
72,2026-03-04,24,19,1,180000
73,2026-04-06,27,8,2,440000
74,2026-02-21,17,2,1,850000
75,2026-04-06,6,1,5,12500000
76,2026-01-04,24,15,5,7500000
77,2026-04-04,5,1,1,2500000
78,2026-01-23,20,5,5,3250000
79,2026-01-15,2,16,5,450000
80,2026-02-12,6,19,5,900000
81,2026-01-29,22,4,3,240000
82,2026-02-05,11,3,4,480000
83,2026-01-13,16,17,2,120000
84,2026-02-01,16,17,3,180000
85,2026-03-12,1,12,5,6000000
86,2026-02-28,9,14,1,250000
87,2026-03-27,28,6,5,4500000
88,2026-01-28,27,3,4,480000
89,2026-03-07,6,9,5,900000
90,2026-02-11,16,5,1,650000
91,2026-02-14,29,17,4,240000
92,2026-03-03,3,14,5,1250000
93,2026-02-26,20,3,4,480000
94,2026-01-06,28,1,2,5000000
95,2026-01-28,27,20,2,220000
96,2026-01-28,4,1,5,12500000
97,2026-02-13,19,3,4,480000
98,2026-03-25,26,18,1,35000
99,2026-01-30,3,10,5,225000
100,2026-03-03,19,3,2,240000
